ID,Frequency,Dutch,Eng
294,95781,eerst,first
295,94649,eigen,own
296,94005,zoon,son
297,93785,gelijk,equal
298,93577,buiten,Outside
299,93539,vertel,tell
300,92943,morgen,tomorrow
301,92677,meisje,girl
302,92207,probleem,problem
303,92100,alsof,as if
304,91786,geloof,faith
305,91416,halen,to fetch
306,91381,familie,family
307,91190,elke,each
308,90745,zouden,would
309,90558,hoop,heap
310,89831,politie,Police
311,88242,mannen,men
312,88083,bijna,almost
313,87785,vermoord,murdered
314,87166,eigenlijk,actually
315,86903,werken,to work
316,86880,verdomme,damn
317,86323,horen,to belong
318,86308,manier,way
319,86182,zat,sat
320,86123,vrienden,friends
321,85303,precies,precisely
322,84394,kind,child
323,83925,hè,Hey
324,83652,kleine,little
325,83359,begrijp,understand
326,83099,wou,wish
327,82928,geeft,gives
328,82400,orde,order
329,82085,houdt,holds
330,81608,verder,further
331,81010,vroeg,early
332,80987,stop,Stop
333,80968,wachten,to wait
334,80885,rustig,Calm
335,80392,hoofd,head
336,80016,krijg,receive
337,79644,daarom,therefore
338,79365,gebeurt,happen
339,79301,soms,sometimes
340,78650,volgens,according to
341,78121,dagen,to dawn
342,77407,vond,found
343,77203,krijgt,gets
344,77105,gemaakt,created
345,77067,kant,side
346,76674,werkt,works
347,76371,open,Open
348,76346,gehad,had
349,76130,voel,feeling
350,75855,zaak,matter
351,75681,blij,pleased
352,75620,volgende,next one
353,75591,zoek,Search
354,75545,kans,opportunity
355,74852,vanavond,this evening
356,74744,bel,bubble
357,74432,probeer,try
358,73343,zoeken,Search
359,73245,oude,old
360,73212,ding,thing
361,73205,moment,moment
362,72892,best,best
363,72407,tussen,between
364,72264,plaats,Place
365,72216,pas,pass
366,72189,gehoord,heard
367,72124,vijf,five
368,71375,verteld,told
369,70421,zet,sets
370,70022,prima,fine
371,69889,hulp,staff
372,69801,stad,city
373,69293,vindt,finds
374,68945,brengen,bring
375,68893,pijn,pain
376,68519,slecht,bad
377,68314,geloven,to believe
378,68306,eruit,out
379,68121,minuten,minutes
380,67892,school,school
381,67744,plan,plan
382,67705,broer,brother
383,67661,pak,business suit
384,67188,jezelf,yourself
385,67162,hoeveel,How much
386,66186,kamer,room
387,65961,betekent,stands for
388,65936,spreken,speak
389,65493,juist,correct
390,65251,heet,hot
391,65248,soort,kind
392,64852,haal,get
393,64809,ergens,somewhere
394,64780,vier,four
395,64681,gebruiken,to use
396,64405,ligt,lies
397,64238,blijft,stays
398,64115,welke,which
399,64012,proberen,to attempt
400,63817,dokter,doctor
401,63555,agent,agent
402,63532,help,Help
403,63082,later,later on
404,63075,voordat,before
405,62918,ogen,eyes
406,62903,vrij,free
407,62698,klopt,beats
408,62679,gaf,gave
409,62534,foto,photo
410,62511,word,become
411,62255,zodat,so that
412,61982,dochter,daughter
413,61468,problemen,issues
414,60863,plek,place
415,60841,water,water
416,60829,kent,knows
417,60761,week,week
418,60700,beginnen,to start
419,60565,praat,talk
420,60548,eerder,earlier
421,60362,lk,lk
422,60292,mis,wrong
423,60071,handen,hands
424,59630,deur,door
425,59278,baby,baby
426,59053,bellen,to call
427,59016,boven,above
428,58985,groot,big
429,58959,echte,real
430,58632,hoeft,needs
431,58600,ie,ie
432,58363,doden,kill
433,58247,stoppen,fuses
434,58228,moeilijk,difficult
435,57649,dr,dr
436,57267,sinds,ever since
437,57099,land,country
438,57039,spelen,play
439,56681,zoveel,that much
440,56072,hetzelfde,the same
441,55850,mevrouw,Mrs
442,55686,snap,snap
443,55649,breng,bring
444,55220,pakken,to grab
445,55117,druk,Busy
446,55047,verhaal,story
447,55015,lekker,yummy
448,54920,vrouwen,women
449,54898,schat,treasure
450,54741,vergeten,forget
451,54607,gebeuren,to happen
452,54520,ervan,of it
453,54466,kreeg,received
454,54358,waarschijnlijk,probably
455,54330,hoi,Hi
456,53888,mogelijk,possible
457,53773,mooie,nice
458,53765,bloed,blood
459,53317,wees,orphan
460,53267,nacht,night
461,53254,nieuws,news
462,53226,bed,bed
463,53125,liet,let
464,52842,lopen,walk
465,52806,gelukkig,happy
466,52805,waarheid,truth
467,52589,reden,rode
468,52556,papa,Daddy
469,52304,hoorde,heard
470,52079,klinkt,sounds
471,52069,maanden,months
472,52031,vermoorden,murder
473,51990,zorg,care
474,51705,dollar,dollar
475,51568,bezig,busy
476,51461,voorbij,past
477,51386,terwijl,while
478,51380,sta,stae
479,51286,zaken,Affairs
480,51218,avond,evening
481,51105,tien,ten
482,51056,schuld,debt
483,50903,veilig,safe
484,50611,redden,to save
485,50609,hart,heart
486,50560,zult,will
487,50325,duidelijk,clear
488,50175,stel,couple
489,50102,the,the
490,50037,schiet,shoot
491,50016,eraan,toe
492,49982,zes,six
493,49685,begin,get started
494,49497,gekomen,come
495,49460,vol,full
496,49358,vriendin,female friend
497,49059,rond,round
498,49014,voelt,feels
499,48971,baas,boss
500,48872,moord,murder
501,48843,ander,other
502,48749,klein,small
503,48589,fijn,nice
504,48578,jaren,years
505,48070,mam,mam
506,47882,lichaam,body
507,47810,eerlijk,honestly
508,47803,gezicht,sight
509,47792,ver,far
510,47750,wakker,wake-up
511,47675,ouders,parents
512,47574,zoiets,such a thing
513,47431,leren,to learn
514,47429,telefoon,telephone
515,47185,los,loose
516,46924,per,per
517,46820,mama,mom
518,46581,nummer,number
519,46511,fout,wrong
520,46347,mogen,be allowed to
521,46199,meteen,immediately
522,46123,slapen,to sleep
523,46111,zeer,very
524,45938,dezelfde,the same
525,45767,liefde,love
526,45696,alstublieft,Please
527,45662,deel,part
528,45510,liggen,lying down
529,45415,erop,on top
530,45386,vaak,often
531,45284,vallen,fall
532,44823,belangrijk,important
533,44628,sterven,to die
534,44604,oud,old
535,44595,neer,down
536,44533,buurt,neighbourhood
537,44529,langs,by
538,44363,houd,loves
539,44302,rest,rest
540,44174,stond,was standing
541,44022,sir,sir
542,43973,begrepen,understood
543,43854,drinken,drinks
544,43410,team,team
545,43281,vertelde,told
546,43261,beneden,downstairs
547,43213,vergeet,forgets
548,43171,vooruit,forward
549,43163,mrs,MRS
550,43123,hoort,belongs
551,42966,baan,track
552,42908,dicht,closed
553,42901,inderdaad,indeed
554,42854,geval,case
555,42520,zetten,to make
556,42460,oorlog,war
557,42111,mezelf,myself
558,42029,tijdens,during the day
559,41998,john,John
560,41931,maakte,melt
561,41881,kennen,know
562,41872,gebruikt,used
563,41404,oke,Okay
564,41207,geluk,luck
565,41125,hey,hey
566,41017,hield,loved
567,40809,wapen,weapon
568,40757,kop,cup
569,40719,vertrouwen,to trust
570,40686,rust,peace
571,40549,mond,mouth
572,40353,weken,to soften
573,40102,elk,each
574,40089,betalen,Pay
575,40002,anderen,Others
576,39919,neemt,take
577,39851,recht,straight
578,39811,nam,took
579,39704,jack,jacket
580,39590,kantoor,office
581,39508,gegeven,given
582,39489,ermee,with it
583,39489,overal,everywhere
584,39356,eén,An
585,39346,daarna,afterwards
586,39232,tweede,second
587,39172,onderzoek,research
588,39139,welkom,welcome
589,39129,hard,hard
590,39078,liever,rather
591,39005,bewijs,proof
592,38990,vanaf,from
593,38750,aardig,friendly
594,38177,klootzak,asshole
595,38103,stuk,piece
596,38045,woord,word
597,37709,veranderen,change
598,37661,zin,sentence
599,37601,straks,soon
600,37493,vent,vent
601,37423,zus,sister
602,37392,haat,hate
603,37082,vandaan,from
604,36969,miss,miss
605,36929,lieverd,Darling
606,36924,zichzelf,herself
607,36821,nieuw,new
608,36709,ontmoeten,Meet
609,36285,werden,became
610,36178,allebei,both
611,36169,minder,less
612,36114,pap,dad
613,36087,nergens,nowhere
614,36067,kwaad,pissed off
615,36052,sam,sam
616,35890,erin,in
617,35890,ervoor,before
618,35849,kerel,dude
619,35814,gisteren,yesterday
620,35797,ontmoet,meet
621,35595,miljoen,million
622,35551,ok,OK
623,35549,film,movie
624,35488,verloren,lost
625,35403,probeerde,attempted
626,35366,gebeld,acquired
627,35306,new,new
628,35114,antwoord,answer
629,35032,noemen,to call
630,35029,informatie,information
631,34984,boek,book
632,34963,stil,quiet
633,34916,kapitein,captain
634,34810,kwijt,lost
635,34753,enkel,only
636,34444,valt,fall
637,34129,boos,angry
638,34092,licht,light
639,34091,geworden,become
640,33925,pa,dad
641,33880,persoon,person
642,33856,konden,could
643,33812,beschermen,to protect
644,33703,slechte,poor
645,33702,ziekenhuis,Hopital
646,33679,gevoel,feeling
647,33648,gegaan,gone
648,33604,voorzichtig,carefully
649,33539,hond,dog
650,33466,rijden,to drive
651,33462,eindelijk,Finally
652,33443,gesproken,spoken
653,33404,meisjes,girls
654,33284,aarde,soil
655,33260,ten,ten
656,33143,normaal,normal
657,33102,grappig,funny
658,33056,heren,Gentlemen
659,32995,voelen,to feel
660,32729,moordenaar,killer
661,32726,mens,man
662,32722,president,president
663,32680,nogal,quite
664,32654,gevangenis,jail
665,32569,loopt,run
666,32540,degene,the one
667,32438,prachtig,magnificent
668,32290,hoezo,how so
669,32204,kopen,to buy
670,32202,vechten,fight
671,32143,punt,point
672,32143,vreemd,strange
673,32114,trouwen,Marry
674,32053,contact,Contact
675,31969,verkeerd,wrong
676,31855,meen,moon
677,31743,koffie,coffee
678,31741,verwacht,expected
679,31735,schip,ship
680,31676,ziek,ill
681,31661,plezier,pleasure
682,31594,einde,end
683,31546,stap,step
684,31388,advocaat,lawyer
685,31297,begint,begins
686,31286,begon,began
687,31261,enkele,couple of
688,31234,erbij,there
689,31196,gang,corridor
690,30939,gebeurde,happened
691,30666,heer,gentleman
692,30618,herinner,remember
693,30577,jezus,Jesus
694,30568,opnieuw,again
695,30560,serieus,serious
696,30497,zomaar,just like that
697,30422,pardon,excuse me
698,30308,gevraagd,requested
699,30282,controle,check
700,30245,getrouwd,married
701,30143,daarmee,with that
702,30090,spel,game
703,29995,bedoelt,mean
704,29932,perfect,perfect
705,29907,stellen,set
706,29726,juiste,right one
707,29682,koning,king
708,29548,beloof,promise
709,29492,grond,ground
710,29489,waard,worth
711,29462,winnen,to win
712,29411,nadat,once
713,29291,gebruik,usage
714,29240,naartoe,to
715,29159,begrijpen,understand
716,29159,veranderd,changed
717,29149,acht,eight
718,29064,he,Hey
719,28953,gingen,used to go
720,28894,kwamen,come
721,28744,leeft,lives
722,28657,leg,put
723,28643,gekregen,got
724,28616,langer,longer
725,28356,verliezen,losses
726,28297,vroeger,back in the days
727,28282,lucht,sky
728,28261,wapens,weapons
729,28236,verlaten,leave
730,28172,probeert,trust
731,28158,dames,ladies
732,28136,seks,sex
733,28119,schieten,to shoot
734,28024,toekomst,future
735,27924,behalve,except for
736,27858,slim,smart
737,27783,meest,most
738,27775,stuur,send
739,27774,leger,army
740,27714,woorden,words
741,27709,zeven,seven
742,27669,brengt,brings
743,27520,charlie,Charlie
744,27475,half,half
745,27465,hierheen,here
746,27431,trots,pride
747,27325,spullen,stuff
748,27264,geheim,secret
749,27196,helpt,helps
750,27185,vraagt,ask
751,27155,michael,Michael
752,27127,weinig,few
753,27108,ongeveer,about
754,27101,schatje,honey
755,27051,sommige,some
756,27038,makkelijk,comfortable
757,27027,kracht,power
758,26998,gedood,killed
759,26896,gestolen,stolen
760,26872,tenminste,at least
761,26823,lange,long
762,26806,ongeluk,accident
763,26751,frank,frank
764,26748,zodra,as soon
765,26726,werkte,worked
766,26688,wilden,wild ones
767,26681,eet,eat
768,26636,slechts,only
769,26598,lief,sweet
770,26568,nietwaar,not true
771,26541,relatie,relation
772,26517,trek,tin
773,26507,afgelopen,past
774,26492,val,trap
775,26484,volgen,to follow
776,26465,ter,in
777,26418,voelde,felt
778,26262,bekend,known
779,26238,bewijzen,prove
780,26178,hoef,hoof
781,26128,via,through
782,26120,oom,uncle
783,26088,loop,loop
784,26056,belde,bell
785,26002,lijken,appear
786,25914,sturen,to steer
787,25862,men,men
788,25831,slachtoffer,victim
789,25817,george,George
790,25781,genomen,taken
791,25724,maand,month
792,25712,onzin,nonsense
793,25704,meid,girl
794,25702,york,york
795,25643,erger,worse
796,25618,idioot,idiot
797,25565,ziens,seeing
798,25549,dienst,shift
799,25512,erover,over
800,25473,feest,party
801,25459,leek,seemed
802,25443,vreselijk,horrible
803,25438,eentje,one
804,25434,gevaar,danger
805,25430,wonen,live
806,25416,grootste,largest
807,25376,succes,good luck
808,25316,vertrekken,leave
809,25293,jawel,Yes
810,25279,muziek,music
811,25228,mocht,if
812,25187,raar,weird
813,25122,slaap,sleep
814,25012,joe,joe
815,25005,absoluut,absolute
816,24965,vorige,previous
817,24883,ruimte,room
818,24813,ieder,each
819,24785,schuldig,guilty
820,24705,goeie,good
821,24702,begonnen,started
822,24691,luisteren,listen
823,24629,sterk,strong
824,24612,omhoog,upwards
825,24590,totdat,until
826,24583,afspraak,appointment
827,24558,lezen,read
828,24450,zwarte,black
829,24440,vanwege,because of
830,24434,hemel,heaven
831,24428,tenzij,unless
832,24391,gisteravond,yesterday evening
833,24387,begrijpt,understands
834,24382,ene,one
835,24379,lag,lay
836,24354,naast,next
837,24316,vooral,mostly
838,24165,fantastisch,fantastic
839,24151,gered,savage
840,24135,viel,fell
841,24067,trouwens,Incidentally
842,24032,uh,uh
843,24010,bank,Bank
844,23829,pistool,pistol
845,23793,noem,nobble
846,23761,bedrijf,business
847,23733,camera,camera
848,23733,blijkbaar,evidently
849,23616,woont,lives
850,23615,verkopen,to sell
851,23607,beide,both
852,23575,zolang,so long
853,23574,straat,street
854,23499,mike,Mike
855,23452,geest,spirit
856,23433,david,David
857,23431,vuur,fire
858,23387,peter,Peter
859,23365,verkeerde,wrong
860,23361,moesten,should
861,23232,lieve,dear
862,23183,tom,Tom
863,23179,geprobeerd,tried
864,23124,meeste,Most
865,23103,kijkt,look
866,23078,stierf,died
867,23068,hotel,hotel
868,23033,droom,dream
869,23031,verliefd,in love
870,22986,jammer,Shame
871,22958,gedacht,thought
872,22920,let,note
873,22868,rug,back
874,22864,vertaling,translation
875,22794,slaan,to beat
876,22778,gaten,hole
877,22767,doel,target
878,22759,meter,meter
879,22662,drugs,drugs
880,22605,gevaarlijk,dangerous
881,22586,geweldige,great
882,22538,lijst,list
883,22496,fbi,fi
884,22388,namen,names
885,22333,deden,did
886,22292,jonge,young
887,22216,schelen,care
888,22194,goedemorgen,good morning
889,22192,dragen,to wear
890,22153,iedere,every
891,22128,excuseer,excuse
892,22050,stom,stupid
893,22033,jong,young
894,22024,zover,as far
895,22016,betaald,paid
896,22014,kende,knew
897,22000,kleren,clothes
898,21984,gesprek,conversation
899,21907,lukt,NS
900,21896,welk,which
901,21874,vertelt,tells
902,21873,prijs,price
903,21813,voorstellen,introduce
904,21792,huwelijk,wedding
905,21786,tv,TV
906,21780,missen,to miss
907,21779,schrijven,write
908,21771,groep,group
909,21686,herinneren,to remind
910,21643,regels,lines
911,21627,vonden,found
912,21528,vliegtuig,aeroplane
913,21488,onderweg,en route
914,21458,delen,parts
915,21454,geleerd,learned
916,21449,stomme,stupid
917,21440,bestaat,exists
918,21372,james,James
919,21304,vertrouw,trust
920,21299,daarvoor,therefor
921,21265,shit,shit
922,21250,trekken,Pull
923,21196,zak,bag
924,21145,vanuit,from
925,21082,gebracht,brought
926,21071,stem,voice
927,21054,gezin,family
928,21031,keuze,choise
929,20992,raken,touch
930,20978,direct,straight away
931,20968,verdomde,damn
932,20881,boot,boat
933,20836,dom,stupid
934,20816,verleden,past
935,20795,gemist,missed
936,20779,duurt,takes
937,20753,gedachten,thoughts
938,20724,situatie,situation
939,20708,moe,tired
940,20676,deal,deagle
941,20665,tafel,table
942,20647,band,band
943,20643,generaal,general
944,20543,reis,trip
945,20489,partner,partner
946,20471,leuke,nice
947,20447,raad,Council
948,20396,honger,hunger
949,20380,geraakt,touched
950,20377,gebouw,building
951,20373,zwaar,heavy
952,20321,gast,guest
953,20318,gestuurd,controlled
954,20279,geboren,born
955,20258,bracht,brought
956,20254,rechter,right
957,20224,agenten,agents
958,20171,bureau,desk
959,20161,macht,power
960,20141,spreek,talk
961,20049,derde,third
962,20038,regel,rule
963,20037,kolonel,colonel
964,20000,ruzie,row
965,19994,oma,Grandma
966,19940,zeiden,tough
967,19940,speelt,plays
968,19923,dronken,drunk
969,19919,vliegen,to fly
970,19867,luitenant,lieutenant
971,19852,gelooft,believes
972,19847,arme,poor
973,19706,seconden,seconds
974,19687,liep,ran
975,19655,tuurlijk,of course
976,19650,red,red
977,19648,gefeliciteerd,congratulations
978,19550,koud,cold
979,19534,regelen,to arrange
980,19483,henry,Henry
981,19459,bericht,message
982,19448,vlucht,flight
983,19407,moeite,effort
984,19393,hel,hell
985,19338,dame,Lady
986,19310,oog,eye
987,19260,ma,ma
988,19257,dansen,dancing
989,19243,teken,sign
990,19187,onmogelijk,impossible
991,19162,gewerkt,worked
992,19153,helaas,Unfortunately
993,19144,grapje,just kidding
994,19131,arm,arm
995,19128,show,show
996,19108,lachen,laugh
997,19103,leggen,lay
998,19101,sleutel,key
999,19085,wet,law
1000,19057,liefje,sweetheart
1001,18999,keek,watched
1002,18976,paul,Paul
1003,18957,alex,Alex
1004,18885,aantal,number
1005,18871,zoekt,searches
1006,18844,extra,additional
1007,18768,zweer,swear
1008,18742,leiden,lead
1009,18661,harry,harry
1010,18661,mary,mary
1011,18620,lijk,dead body
1012,18568,kapot,Broken
1013,18565,bleef,Remained
1014,18565,sneller,faster
1015,18564,gebroken,broken
1016,18521,uiteindelijk,in the end
1017,18521,verdwenen,disappeared
1018,18486,kaart,Map
1019,18459,kerk,church
1020,18450,mijne,mine
1021,18405,dode,dead
1022,18385,brand,fire
1023,18361,i,I
1024,18349,max,max
1025,18328,betrokken,concerned
1026,18295,wegwezen,get out
1027,18287,plannen,plan
1028,18284,volg,follow
1029,18277,lastig,difficult
1030,18214,tijdje,while
1031,18197,negen,nine
1032,18164,gebied,area
1033,18129,beiden,both
1034,18074,eind,end
1035,18071,operatie,operation
1036,17969,diep,deep
1037,17943,persoonlijk,in person
1038,17889,liegen,to lie
1039,17883,zwanger,pregnant
1040,17847,club,club
1041,17819,respect,respect
1042,17808,steek,lurch
1043,17778,waarvoor,for which
1044,17760,missie,mission
1045,17753,cool,cool
1046,17738,danny,Danny
1047,17722,amerika,America
1048,17668,zon,Sun
1049,17636,kost,cost
1050,17627,paard,horse
1051,17623,waarop,upon which
1052,17621,maat,measure
1053,17618,brief,letter
1054,17612,raak,tall
1055,17591,rijk,rich
1056,17584,rij,queue
1057,17565,risico,risk
1058,17535,meestal,mostly
1059,17533,witte,white
1060,17509,getuige,witness
1061,17489,kwalijk,bad
1062,17469,rechercheur,detective
1063,17421,schoenen,shoes
1064,17399,bar,bar
1065,17374,hoeven,hooves
1066,17368,midden,middle
1067,17355,hopelijk,hopefully
1068,17340,lijn,line
1069,17305,eer,honour
1070,17280,gezet,set
1071,17246,zuster,sister
1072,17239,bal,ball
1073,17228,a,a
1074,17212,sprak,spin
1075,17167,aanval,attack
1076,17149,aandacht,attention
1077,17131,kiezen,select
1078,17097,komaan,come on
1079,17094,rode,red
1080,17058,meiden,girls
1081,17056,amerikaanse,American
1082,17033,adres,address
1083,16907,zee,sea
1084,16819,hoog,high
1085,16819,feestje,party
1086,16803,gekocht,purchased
1087,16801,bevel,command
1088,16767,wedstrijd,contest
1089,16744,sluiten,Close
1090,16741,daarvan,of them
1091,16731,jimmy,Jimmy
1092,16715,volledig,complete
1093,16702,rot,rotten
1094,16664,les,lesson
1095,16654,ziel,soul
1096,16639,interessant,interesting
1097,16622,slag,battle
1098,16618,sluit,clockwise
1099,16582,zelfmoord,suicide
1100,16550,computer,computer
1101,16523,planeet,planet
1102,16480,bereiken,to achieve
1103,16476,verdachte,suspect
1104,16448,sarah,Sarah
1105,16431,gelezen,read
1106,16430,uitleggen,to explain
1107,16424,beloofd,promised
1108,16400,laatst,last
1109,16383,winkel,store
1110,16379,zul,zero
1111,16371,wagen,carriage
1112,16369,angst,fear
1113,16362,muur,wall
1114,16337,leeg,empty
1115,16270,bezoek,visit
1116,16259,stelen,to steal
1117,16252,gewonnen,won
1118,16214,positie,position
1119,16195,wisten,knock
1120,16193,sheriff,sheriff
1121,16156,bekijken,to look at
1122,16125,helft,half
1123,16120,r,r
1124,16098,warm,warm
1125,16097,keus,choice
1126,16088,vanmorgen,this morning
1127,16023,park,park
1128,16011,zulke,such
1129,16010,nick,Nick
1130,15989,heerlijk,lovely
1131,15985,gevallen,cases
1132,15964,zaten,seal
1133,15963,rennen,run
1134,15952,gewond,injured
1135,15937,sergeant,sergeant
1136,15922,volk,people
1137,15907,dieren,animal
1138,15887,kort,short
1139,15883,spreekt,speak
1140,15873,ah,Ah
1141,15862,allen,all
1142,15856,tony,tony
1143,15853,verdient,deserve
1144,15818,onderzoeken,to investigate
1145,15808,haast,hast
1146,15803,dromen,to dream
1147,15770,systeem,system
1148,15752,meester,master
1149,15749,kont,ass
1150,15739,enig,any
1151,15715,ontdekt,discovers
1152,15679,verkocht,sold
1153,15660,tante,aunt
1154,15634,bewegen,to move
1155,15634,geschreven,written
1156,15614,groter,taller
1157,15594,neus,nose
1158,15582,ach,oh
1159,15572,verklaring,declaration
1160,15572,broek,pants
1161,15568,verdienen,to earn
1162,15562,speel,play
1163,15553,hangt,hanging
1164,15527,vijand,enemy
1165,15492,gelukt,success
1166,15473,verschillende,various
1167,15450,speciale,special one
